metric,true_relative_effect,n_total,estimator,replications,power,power_lo,power_hi,mean_se,effective_variance
revenue_p10,0.1,41938,cuped_plus_strata,1500,0.632,0.6072863311326053,0.6560392991572668,0.7348542095487998,5661.742281567689
revenue_p10,0.1,58714,cuped_plus_strata,1500,0.784,0.7624633954874508,0.8040856878634862,0.6223497310323913,5685.264696890625
revenue_p10,0.1,83876,cuped_plus_strata,1500,0.8813333333333333,0.8639853711631557,0.8967331163409192,0.5195849845623063,5660.970654593192
revenue_p10,0.1,117428,cuped_plus_strata,1500,0.9646666666666667,0.9540735206139236,0.9728858951034544,0.44032946008630364,5692.029711107877
revenue_p10,0.1,159366,cuped_plus_strata,1500,0.9913333333333333,0.9852283335257945,0.9949281792198403,0.3781337577617196,5696.742405866651
revenue_p10,0.1,29356,diff_in_means,1500,0.38133333333333336,0.3570859267445233,0.4061869914797332,1.0296414453851312,7780.525292936047
revenue_p10,0.1,41938,diff_in_means,1500,0.5,0.47472931184068445,0.5252706881593155,0.860838146932472,7769.458153862569
revenue_p10,0.1,58714,diff_in_means,1500,0.646,0.6214548268170315,0.6697992794126757,0.7292154692409443,7805.368711717795
revenue_p10,0.1,83876,diff_in_means,1500,0.7706666666666667,0.7487162226820377,0.7912343121547708,0.6085166586132273,7764.663931767845
revenue_p10,0.1,117428,diff_in_means,1500,0.8953333333333333,0.8788186606451378,0.9098283027987719,0.5153229256518351,7795.977918588383
revenue_p10,0.1,159366,diff_in_means,1500,0.9626666666666667,0.9518307049496499,0.9711389284906089,0.4423768733265256,7796.873900424532
revenue_p10,0.1,29356,lin_adjusted,1500,0.47333333333333333,0.4481666375166663,0.49863626545507667,0.8887542433823551,5796.959447550116
revenue_p10,0.1,41938,lin_adjusted,1500,0.6293333333333333,0.6045900829557596,0.6534158376312869,0.7447253759343645,5814.870252159906
revenue_p10,0.1,58714,lin_adjusted,1500,0.7773333333333333,0.7555859256118739,0.7976638834819988,0.6301885415913036,5829.384231552731
revenue_p10,0.1,83876,lin_adjusted,1500,0.8733333333333333,0.8555426290111002,0.8892167293844976,0.5260256113396822,5802.18402823367
