metric,target_rho,realised_rho_mean,realised_rho_sd,n_total,estimator,replications,variance,variance_ratio,theoretical_ratio,empirical_variance_of_estimates,sample_size_ratio,users_saved_pct
sessions_m3,0.6,0.5999335550230227,0.002821269105301386,100000,cuped,800,0.0003649102367047268,0.6400601026496734,0.64,0.00033154265231211534,0.6400601026496734,35.99398973503266
sessions_m3,0.7,0.6999743390088478,0.0024579326363269615,100000,cuped,800,0.0002906855371617938,0.5100150682753116,0.51,0.0002938444090473012,0.5100150682753116,48.99849317246884
sessions_m3,0.8,0.8000876791125444,0.0017614998820571057,100000,cuped,800,0.00020517492056219375,0.3598432998788199,0.3599999999999999,0.00019975449531443482,0.3598432998788199,64.01567001211801
sessions_m3,0.9,0.8999363349496451,0.0009454465737973933,100000,cuped,800,0.00010832038349637321,0.19010423323559672,0.18999999999999995,0.00010721194366817534,0.19010423323559672,80.98957667644034
sessions_m3,0.0,4.343002388413726e-05,0.0030453166073467312,100000,cuped_plus_strata,800,0.0005701381806589271,1.0000357189911162,1.0,0.0005704231701703357,1.0000357189911162,-0.003571899111620702
sessions_m3,0.1,0.10009284134477003,0.0036242487361725327,100000,cuped_plus_strata,800,0.0005636865058120065,0.9886369486501047,0.99,0.0005318053457947056,0.9886369486501047,1.1363051349895348
sessions_m3,0.2,0.19999577475712918,0.003596737924972697,100000,cuped_plus_strata,800,0.0005448345380221045,0.9560577045115037,0.96,0.0005531870962565921,0.9560577045115037,4.394229548849626
sessions_m3,0.3,0.2998043836757435,0.0036299983272712034,100000,cuped_plus_strata,800,0.0005152677124330946,0.9039155808182661,0.91,0.0004659096435810119,0.9039155808182661,9.608441918173394
sessions_m3,0.4,0.40006550132953783,0.003590408293757255,100000,cuped_plus_strata,800,0.0004744121811539402,0.8324271293537772,0.84,0.00046322317391440026,0.8324271293537772,16.757287064622282
sessions_m3,0.5,0.49987158831806755,0.003264327291625846,100000,cuped_plus_strata,800,0.0004231410260972384,0.7425509140572405,0.75,0.0004001328079004067,0.7425509140572405,25.74490859427595
sessions_m3,0.6,0.5999335550230227,0.002821269105301386,100000,cuped_plus_strata,800,0.0003612060370412372,0.6335628598256346,0.64,0.0003232889864124091,0.6335628598256346,36.64371401743654
sessions_m3,0.7,0.6999743390088478,0.0024579326363269615,100000,cuped_plus_strata,800,0.00028800050665797464,0.5053041148887164,0.51,0.00029258219098260733,0.5053041148887164,49.46958851112836
sessions_m3,0.8,0.8000876791125444,0.0017614998820571057,100000,cuped_plus_strata,800,0.0002036657744864242,0.35719650414756743,0.3599999999999999,0.00019739617528082484,0.35719650414756743,64.28034958524326
sessions_m3,0.9,0.8999363349496451,0.0009454465737973933,100000,cuped_plus_strata,800,0.00010779952834784546,0.1891901230243732,0.18999999999999995,0.00010673546144602352,0.1891901230243732,81.08098769756268
sessions_m3,0.0,4.343002388413726e-05,0.0030453166073467312,100000,diff_in_means,800,0.0005701178166256999,1.0,1.0,0.0005708764169113583,1.0,0.0
sessions_m3,0.1,0.10009284134477003,0.0036242487361725327,100000,diff_in_means,800,0.0005701653236627156,1.0,0.99,0.0005339281415037938,1.0,0.0
sessions_m3,0.2,0.19999577475712918,0.003596737924972697,100000,diff_in_means,800,0.0005698762066882636,1.0,0.96,0.0005827612509263331,1.0,0.0
sessions_m3,0.3,0.2998043836757435,0.0036299983272712034,100000,diff_in_means,800,0.0005700396401693293,1.0,0.91,0.0005288046557016145,1.0,0.0
sessions_m3,0.4,0.40006550132953783,0.003590408293757255,100000,diff_in_means,800,0.0005699143677864414,1.0,0.84,0.0005871336138126768,1.0,0.0
sessions_m3,0.5,0.49987158831806755,0.003264327291625846,100000,diff_in_means,800,0.0005698478287303274,1.0,0.75,0.0005584225885911871,1.0,0.0
sessions_m3,0.6,0.5999335550230227,0.002821269105301386,100000,diff_in_means,800,0.000570118704781158,1.0,0.64,0.000555900093804491,1.0,0.0
sessions_m3,0.7,0.6999743390088478,0.0024579326363269615,100000,diff_in_means,800,0.0005699548018155389,1.0,0.51,0.0005234968358040592,1.0,0.0
sessions_m3,0.8,0.8000876791125444,0.0017614998820571057,100000,diff_in_means,800,0.0005701785211265237,1.0,0.3599999999999999,0.0005694210435813268,1.0,0.0
sessions_m3,0.9,0.8999363349496451,0.0009454465737973933,100000,diff_in_means,800,0.0005697946944828496,1.0,0.18999999999999995,0.0005518924465553308,1.0,0.0
sessions_m3,0.0,4.343002388413726e-05,0.0030453166073467312,100000,lin_adjusted,800,0.0005701233451298386,1.0000096971257124,1.0,0.0005706865053583032,1.0000096971257124,-0.0009697125712415655
sessions_m3,0.1,0.10009284134477003,0.0036242487361725327,100000,lin_adjusted,800,0.0005644616940659438,0.9899965337068694,0.99,0.0005329744897165597,0.9899965337068694,1.0003466293130647
sessions_m3,0.2,0.19999577475712918,0.003596737924972697,100000,lin_adjusted,800,0.0005470956013818732,0.9600253440325647,0.96,0.0005552058917367985,0.9600253440325647,3.9974655967435324
sessions_m3,0.3,0.2998043836757435,0.0036299983272712034,100000,lin_adjusted,800,0.0005188170664432859,0.9101420846612915,0.91,0.0004749868713600172,0.9101420846612915,8.985791533870845
sessions_m3,0.4,0.40006550132953783,0.003590408293757255,100000,lin_adjusted,800,0.0004787099457991555,0.8399682002376503,0.84,0.0004644737504169005,0.8399682002376503,16.00317997623497
